Orthogroup	Family	todMex	halSen	chlAen	ceyCya	calAnn	taeGut	todChl
OG0000542	a	1	2	2	2	4	2	2
OG0000543	a	1	3	1	1	3	3	3
OG0000544	a	1	2	2	0	2	6	2
OG0000545	a	0	1	1	1	5	6	1
OG0000546	a	0	3	3	0	3	3	3
OG0000547	a	0	1	1	2	2	6	3
OG0000548	a	0	1	1	1	7	4	1
OG0000549	a	0	1	1	2	5	5	1
OG0000550	a	0	2	1	0	4	4	4
OG0000551	a	0	2	2	1	5	3	2
OG0000552	a	0	2	2	1	3	4	3
OG0000553	a	0	1	2	2	7	1	2
OG0000554	a	0	1	1	1	3	8	1
OG0000555	a	0	1	1	1	1	10	1
OG0000556	a	0	1	1	1	3	7	2
OG0000557	a	0	0	0	0	0	15	0
OG0000558	a	0	0	0	0	0	15	0
OG0000559	a	0	0	0	0	0	0	15
OG0000560	a	2	2	1	2	2	3	2
OG0000561	a	1	2	2	3	2	2	2
OG0000562	a	3	2	1	2	2	2	2
OG0000563	a	2	2	2	2	2	2	2
OG0000564	a	2	2	2	2	2	2	2
OG0000565	a	1	2	2	3	2	2	2
OG0000566	a	2	2	2	2	2	2	2
OG0000567	a	2	3	1	3	2	2	1
OG0000568	a	2	1	2	0	3	3	3
OG0000569	a	1	1	1	1	1	8	1
OG0000570	a	2	1	1	2	1	6	1
OG0000571	a	1	1	1	1	2	4	4
OG0000572	a	3	0	1	4	2	0	4
OG0000573	a	3	1	2	1	5	1	1
OG0000574	a	2	3	3	3	1	1	1
OG0000575	a	1	2	1	1	3	3	3
OG0000576	a	1	2	3	0	5	1	2
OG0000577	a	2	2	2	2	2	2	2
OG0000578	a	2	1	2	1	3	3	2
OG0000579	a	2	2	2	2	2	2	2
OG0000580	a	1	1	1	1	1	8	1
OG0000581	a	2	2	1	3	2	2	2
OG0000582	a	2	2	2	1	2	2	3
OG0000583	a	2	2	0	2	1	5	2
OG0000584	a	1	3	2	1	2	3	2
OG0000585	a	2	2	1	2	3	3	1
OG0000586	a	2	2	2	2	2	2	2
OG0000587	a	2	0	3	1	3	3	2
OG0000588	a	1	2	2	1	2	2	4
OG0000589	a	1	2	2	2	2	3	2
OG0000590	a	2	2	2	1	3	2	2
OG0000591	a	2	2	2	2	2	2	2
OG0000592	a	2	2	2	1	3	3	1
OG0000593	a	2	2	2	2	2	2	2
OG0000594	a	5	0	1	2	2	2	2
OG0000595	a	2	2	2	2	2	2	2
OG0000596	a	2	2	2	2	2	2	2
OG0000597	a	2	2	3	1	2	2	2
OG0000598	a	2	2	2	2	2	2	2
OG0000599	a	2	2	2	2	2	2	2
OG0000600	a	1	2	1	1	2	2	5
OG0000601	a	4	4	3	2	0	0	1
OG0000602	a	2	1	1	2	2	3	3
OG0000603	a	2	2	2	2	2	2	2
OG0000604	a	2	2	2	1	2	2	3
OG0000605	a	2	2	2	0	3	3	2
OG0000606	a	2	2	2	2	2	2	2
OG0000607	a	3	3	7	1	0	0	0
OG0000608	a	2	2	2	2	2	2	2
OG0000609	a	1	1	1	1	4	5	1
OG0000610	a	2	2	1	3	2	2	2
OG0000611	a	1	2	2	1	2	2	4
OG0000612	a	1	1	1	1	5	4	1
OG0000613	a	1	2	2	2	3	2	2
OG0000614	a	2	2	2	2	2	2	2
OG0000615	a	2	2	2	2	2	2	2
OG0000616	a	1	1	1	1	3	6	1
OG0000617	a	2	2	2	2	2	2	2
OG0000618	a	1	2	2	2	2	2	3
OG0000619	a	1	1	1	1	5	4	1
OG0000620	a	2	3	1	0	3	3	2
OG0000621	a	1	2	2	1	2	4	2
OG0000622	a	1	9	0	4	0	0	0
OG0000623	a	2	2	1	3	2	2	2
OG0000624	a	2	2	1	1	2	2	4
OG0000625	a	1	3	2	3	2	2	1
OG0000626	a	2	2	1	3	2	2	2
OG0000627	a	1	1	1	1	5	4	1
